Metric:,Median Days Active in MLS
Time Calculation:,Monthly
Data from:,5/27/2026
Segments:,Dana Point

Filters
Dana Point:,"Residential, Single Family, Detached"


Date,"Dana Point",
January 2021,43,
February 2021,9,
March 2021,11,
April 2021,23,
May 2021,8,
June 2021,9,
July 2021,6,
August 2021,9,
September 2021,10,
October 2021,17,
November 2021,8,
December 2021,7,
January 2022,10,
February 2022,17,
March 2022,7,
April 2022,5,
May 2022,10,
June 2022,9,
July 2022,13,
August 2022,13,
September 2022,15,
October 2022,14,
November 2022,8,
December 2022,32,
January 2023,15,
February 2023,12,
March 2023,13,
April 2023,13,
May 2023,33,
June 2023,16,
July 2023,21,
August 2023,18,
September 2023,16,
October 2023,40,
November 2023,16,
December 2023,80,
January 2024,17,
February 2024,8,
March 2024,12,
April 2024,26,
May 2024,12,
June 2024,22,
July 2024,18,
August 2024,44,
September 2024,41,
October 2024,18,
November 2024,20,
December 2024,14,
January 2025,28,
February 2025,12,
March 2025,19,
April 2025,32,
May 2025,15,
June 2025,19,
July 2025,28,
August 2025,45,
September 2025,14,
October 2025,23,
November 2025,28,
December 2025,55,
January 2026,66,
February 2026,57,
March 2026,14,
April 2026,12,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


