Metric:,Closed Sales
Time Calculation:,Monthly
Data from:,6/16/2026
Segments:,Orange County,San Clemente,Dana Point,Laguna Beach

Filters
Orange County:,"Residential, Single Family"
San Clemente:,"Residential, Single Family"
Dana Point:,"Residential, Single Family"
Laguna Beach:,"Residential, Single Family"


Date,"Orange County","San Clemente","Dana Point","Laguna Beach",
January 2021,1339,56,33,25,
February 2021,1372,56,30,30,
March 2021,1961,85,43,36,
April 2021,2242,94,43,52,
May 2021,2009,83,40,46,
June 2021,2305,70,49,55,
July 2021,2035,80,34,45,
August 2021,1958,69,43,45,
September 2021,1867,63,38,41,
October 2021,1736,69,23,34,
November 2021,1612,67,33,38,
December 2021,1575,55,40,33,
January 2022,1115,42,15,23,
February 2022,1040,37,17,25,
March 2022,1585,52,24,40,
April 2022,1612,67,32,31,
May 2022,1568,55,38,27,
June 2022,1453,43,17,14,
July 2022,1227,34,13,10,
August 2022,1376,32,22,38,
September 2022,1310,46,19,17,
October 2022,1070,38,15,16,
November 2022,902,28,5,11,
December 2022,910,42,13,12,
January 2023,735,31,14,13,
February 2023,785,25,18,11,
March 2023,1124,39,19,15,
April 2023,1011,36,21,19,
May 2023,1236,40,22,23,
June 2023,1280,38,29,12,
July 2023,1114,26,38,18,
August 2023,1259,48,17,23,
September 2023,1033,33,22,22,
October 2023,1032,40,14,14,
November 2023,897,30,16,18,
December 2023,824,40,16,12,
January 2024,693,26,6,14,
February 2024,886,33,17,18,
March 2024,1079,40,18,20,
April 2024,1229,49,26,27,
May 2024,1382,48,27,26,
June 2024,1139,47,20,23,
July 2024,1256,58,21,17,
August 2024,1164,44,35,19,
September 2024,1023,46,18,18,
October 2024,1182,41,19,20,
November 2024,977,37,13,14,
December 2024,1007,33,32,18,
January 2025,797,42,20,16,
February 2025,881,36,18,17,
March 2025,1118,48,28,24,
April 2025,1188,45,22,18,
May 2025,1165,47,27,20,
June 2025,1153,47,26,23,
July 2025,1239,43,23,23,
August 2025,1187,33,19,22,
September 2025,1153,41,22,26,
October 2025,1227,35,31,24,
November 2025,937,26,15,19,
December 2025,1036,35,14,22,
January 2026,754,20,9,14,
February 2026,831,31,17,14,
March 2026,1134,37,33,22,
April 2026,1207,53,22,20,
May 2026,1189,39,23,28,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


