Metric:,Inventory Months Supply
Time Calculation:,Monthly
Data from:,6/16/2026
Segments:,Orange County,San Clemente,Dana Point,Laguna Beach

Filters
Orange County:,"Residential, Single Family"
San Clemente:,"Residential, Single Family"
Dana Point:,"Residential, Single Family"
Laguna Beach:,"Residential, Single Family"


Date,"Orange County","San Clemente","Dana Point","Laguna Beach",
January 2021,1.6,1.1,2.6,4.9,
February 2021,1.5,1.5,2.3,4.7,
March 2021,1.5,1.3,2.0,4.3,
April 2021,1.4,1.3,1.6,3.9,
May 2021,1.4,1.3,1.6,3.2,
June 2021,1.4,1.4,1.3,3.1,
July 2021,1.5,1.4,1.3,3.1,
August 2021,1.4,1.3,1.5,3.4,
September 2021,1.3,1.0,1.6,2.8,
October 2021,1.2,1.1,1.6,2.7,
November 2021,1.0,0.8,1.3,2.0,
December 2021,0.8,0.6,1.1,1.8,
January 2022,0.9,0.7,1.3,2.1,
February 2022,1.0,0.9,1.5,1.9,
March 2022,1.2,1.0,1.4,2.2,
April 2022,1.5,1.3,1.7,2.2,
May 2022,1.8,2.0,2.2,2.6,
June 2022,2.3,2.3,2.7,3.9,
July 2022,2.6,2.8,2.9,3.7,
August 2022,2.5,2.6,2.9,4.0,
September 2022,2.5,2.7,2.7,4.4,
October 2022,2.5,2.9,3.4,5.2,
November 2022,2.3,2.8,3.9,5.3,
December 2022,1.9,2.2,3.3,4.5,
January 2023,1.8,2.2,3.3,5.0,
February 2023,1.8,2.0,3.3,5.9,
March 2023,1.9,2.5,4.3,6.1,
April 2023,2.0,2.6,4.7,6.1,
May 2023,2.1,2.7,5.1,7.6,
June 2023,2.2,3.1,4.5,7.7,
July 2023,2.2,3.3,4.5,9.4,
August 2023,2.3,3.4,3.8,9.4,
September 2023,2.3,3.3,3.7,9.6,
October 2023,2.2,2.8,3.4,8.6,
November 2023,2.1,2.9,3.5,8.3,
December 2023,1.8,2.3,3.5,7.2,
January 2024,1.9,2.6,4.1,7.0,
February 2024,2.0,3.0,4.0,6.4,
March 2024,2.1,3.2,4,6.9,
April 2024,2.2,3.6,4.6,6.6,
May 2024,2.5,3.9,5.2,7.2,
June 2024,2.7,4.0,5.9,7.7,
July 2024,2.9,4.3,5.6,8.3,
August 2024,3.0,3.5,5.6,8.5,
September 2024,3.0,3.2,5.7,8.4,
October 2024,2.8,3.2,5.7,8.9,
November 2024,2.5,2.8,4.7,7.6,
December 2024,2.1,1.7,4.0,7.4,
January 2025,2.4,2.1,4.9,8.3,
February 2025,2.6,3.0,4.8,9.6,
March 2025,3.0,3.3,4.4,10.8,
April 2025,3.4,3.3,4.7,12.2,
May 2025,3.6,3.5,4.4,12.3,
June 2025,3.7,3.7,4.2,11.7,
July 2025,3.7,3.8,4.1,10.5,
August 2025,3.5,3.5,4.0,10.1,
September 2025,3.2,3.1,3.9,9.0,
October 2025,2.9,3.0,3.3,7.6,
November 2025,2.6,2.6,3.4,7.4,
December 2025,2.1,2.1,3.1,6.2,
January 2026,2.3,2.3,3.4,6.5,
February 2026,2.5,2.2,3.1,6.9,
March 2026,2.6,2.2,3.2,6.9,
April 2026,2.7,2.1,3.3,6.9,
May 2026,2.8,2.7,3.6,6.9,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


