Metric:,Median Sales Price
Time Calculation:,Monthly
Data from:,6/16/2026
Segments:,Orange County,San Clemente,Dana Point,Laguna Beach

Filters
Orange County:,"Residential, Single Family"
San Clemente:,"Residential, Single Family"
Dana Point:,"Residential, Single Family"
Laguna Beach:,"Residential, Single Family"


Date,"Orange County","San Clemente","Dana Point","Laguna Beach",
January 2021,950000,1202500,1398000,2075000,
February 2021,980000,1422500,1347500,2560000,
March 2021,1005000,1340000,1475000,2752288,
April 2021,1075000,1312500,2320000,2603298,
May 2021,1080000,1349000,1905000,2950000,
June 2021,1110000,1497500,1815000,2875000,
July 2021,1075000,1411250,1767500,2725000,
August 2021,1086500,1600000,1900000,2775000,
September 2021,1090000,1400000,1687500,3000000,
October 2021,1104500,1600000,2100000,2912500,
November 2021,1127500,1490000,1350000,2637500,
December 2021,1170000,1565000,1995000,3825000,
January 2022,1172000,1607500,1900000,3363100,
February 2022,1250000,1850000,2005000,3175000,
March 2022,1280000,1660500,2947500,2900000,
April 2022,1300000,1925000,2212500,3495000,
May 2022,1275000,1800000,2075000,3095000,
June 2022,1250000,1835000,2775000,2950000,
July 2022,1200000,1674500,1850000,4075000,
August 2022,1189000,1602000,2162500,3675000,
September 2022,1168750,1750000,2200000,2845000,
October 2022,1133500,1725000,1935000,4081419,
November 2022,1085000,1521250,1535000,2980000,
December 2022,1100000,1550000,1775000,2247500,
January 2023,1150000,1606500,1959000,2900000,
February 2023,1145000,1725000,1760000,3400800,
March 2023,1217500,1720000,1500000,2600000,
April 2023,1200000,1980000,1950000,3000000,
May 2023,1240000,1602000,2145000,3260000,
June 2023,1250000,1825000,1985000,3805000,
July 2023,1267499,1479000,1747500,3504515,
August 2023,1285000,1625000,2799000,3300000,
September 2023,1300000,1795000,2025000,2587500,
October 2023,1260000,1794100,1696900,3375000,
November 2023,1275000,1660000,1862500,3330000,
December 2023,1282875,1795000,2110000,3805000,
January 2024,1295000,1770000,1707500,2850000,
February 2024,1325000,1700000,2225000,3425000,
March 2024,1380000,1925250,1662500,3150000,
April 2024,1425000,1850000,2227500,3500000,
May 2024,1408000,1830900,2450000,3291250,
June 2024,1400000,2050000,2099500,3230000,
July 2024,1370000,1792500,1795000,3650000,
August 2024,1353000,1815000,1956789,2675000,
September 2024,1375000,2087500,2025000,4372500,
October 2024,1325000,1735000,2130000,3962500,
November 2024,1350000,1675000,1750000,3360000,
December 2024,1350000,1600000,2200000,3258000,
January 2025,1400000,1823500,2518750,3250000,
February 2025,1430000,1783000,2260000,2300000,
March 2025,1439730,1887500,2152500,2997500,
April 2025,1400000,1950000,1750000,3226000,
May 2025,1390000,2025000,2450000,3175000,
June 2025,1450000,1830000,2367500,2910000,
July 2025,1398500,1865000,2375000,2982500,
August 2025,1370000,1675000,1835000,3657500,
September 2025,1390000,2085000,1905000,2707500,
October 2025,1380000,1715000,3200000,3230000,
November 2025,1370000,1944500,3300000,3100000,
December 2025,1350000,1835000,3000000,2612500,
January 2026,1400000,1726944,4350000,3350000,
February 2026,1408000,1750000,3400000,2800000,
March 2026,1430000,1810000,2830000,3156250,
April 2026,1450000,2050000,2994000,3292213,
May 2026,1467500,2237000,3450000,3380000,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


