Metric:,New Listings
Time Calculation:,Monthly
Data from:,6/16/2026
Segments:,Orange County,San Clemente,Dana Point,Laguna Beach

Filters
Orange County:,"Residential, Single Family"
San Clemente:,"Residential, Single Family"
Dana Point:,"Residential, Single Family"
Laguna Beach:,"Residential, Single Family"


Date,"Orange County","San Clemente","Dana Point","Laguna Beach",
January 2021,1843,64,41,42,
February 2021,1985,87,38,58,
March 2021,2539,112,42,66,
April 2021,2370,89,40,59,
May 2021,2258,81,41,47,
June 2021,2357,97,41,51,
July 2021,2291,76,45,50,
August 2021,2057,68,39,59,
September 2021,1747,58,40,29,
October 2021,1687,83,37,42,
November 2021,1258,37,32,14,
December 2021,898,34,12,25,
January 2022,1446,49,22,45,
February 2022,1671,66,28,36,
March 2022,2088,70,38,46,
April 2022,2112,72,39,29,
May 2022,2259,92,37,34,
June 2022,2169,60,32,47,
July 2022,1900,71,29,32,
August 2022,1586,47,21,32,
September 2022,1451,47,23,33,
October 2022,1199,48,23,29,
November 2022,915,37,25,19,
December 2022,641,17,11,12,
January 2023,1035,42,26,27,
February 2023,1106,41,28,36,
March 2023,1326,47,34,30,
April 2023,1372,51,34,35,
May 2023,1509,51,43,37,
June 2023,1486,55,37,41,
July 2023,1421,51,34,46,
August 2023,1383,48,22,34,
September 2023,1241,52,25,36,
October 2023,1180,33,21,36,
November 2023,937,48,17,21,
December 2023,630,27,15,16,
January 2024,1240,55,28,42,
February 2024,1289,58,25,28,
March 2024,1478,64,40,41,
April 2024,1655,68,39,38,
May 2024,1730,79,40,49,
June 2024,1630,81,43,48,
July 2024,1704,67,32,45,
August 2024,1577,42,36,42,
September 2024,1448,58,39,37,
October 2024,1371,56,31,38,
November 2024,929,31,23,25,
December 2024,742,18,19,24,
January 2025,1593,73,56,55,
February 2025,1557,74,33,58,
March 2025,1890,67,36,61,
April 2025,1884,62,37,52,
May 2025,1809,83,32,46,
June 2025,1704,57,35,42,
July 2025,1762,53,32,31,
August 2025,1473,51,31,47,
September 2025,1350,36,29,30,
October 2025,1323,49,23,33,
November 2025,929,18,24,31,
December 2025,785,28,15,25,
January 2026,1486,39,26,42,
February 2026,1513,46,27,40,
March 2026,1686,59,38,42,
April 2026,1689,52,36,42,
May 2026,1483,64,26,35,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


