Metric:,Pending Sales
Time Calculation:,Monthly
Data from:,6/16/2026
Segments:,Orange County,San Clemente,Dana Point,Laguna Beach

Filters
Orange County:,"Residential, Single Family"
San Clemente:,"Residential, Single Family"
Dana Point:,"Residential, Single Family"
Laguna Beach:,"Residential, Single Family"


Date,"Orange County","San Clemente","Dana Point","Laguna Beach",
January 2021,1532,71,34,30,
February 2021,1777,62,43,47,
March 2021,2245,103,42,50,
April 2021,2084,73,44,51,
May 2021,2097,75,39,46,
June 2021,1991,84,42,40,
July 2021,1983,65,39,44,
August 2021,1952,65,31,42,
September 2021,1715,69,29,39,
October 2021,1650,65,34,35,
November 2021,1490,53,41,31,
December 2021,1033,41,16,19,
January 2022,1081,44,13,27,
February 2022,1376,47,16,36,
March 2022,1738,63,38,30,
April 2022,1504,50,29,26,
May 2022,1500,49,19,20,
June 2022,1277,34,18,11,
July 2022,1252,36,20,31,
August 2022,1427,48,18,21,
September 2022,1100,33,21,15,
October 2022,915,37,5,10,
November 2022,868,36,11,12,
December 2022,732,22,15,11,
January 2023,852,36,18,11,
February 2023,1001,41,17,15,
March 2023,1104,25,20,23,
April 2023,1151,43,23,26,
May 2023,1232,39,25,11,
June 2023,1166,32,34,16,
July 2023,1172,39,26,20,
August 2023,1155,39,22,19,
September 2023,1006,33,18,18,
October 2023,970,41,16,22,
November 2023,822,34,10,12,
December 2023,668,27,11,15,
January 2024,891,38,14,18,
February 2024,1011,39,17,22,
March 2024,1209,45,27,23,
April 2024,1308,42,23,29,
May 2024,1268,51,23,21,
June 2024,1162,54,24,16,
July 2024,1179,42,27,20,
August 2024,1115,50,24,16,
September 2024,1140,48,22,22,
October 2024,1112,40,18,15,
November 2024,950,36,24,22,
December 2024,720,37,20,9,
January 2025,948,42,20,16,
February 2025,1007,31,23,17,
March 2025,1228,46,28,25,
April 2025,1129,48,23,17,
May 2025,1229,51,24,25,
June 2025,1123,40,24,21,
July 2025,1283,34,24,25,
August 2025,1158,45,21,25,
September 2025,1189,35,25,24,
October 2025,1145,33,22,24,
November 2025,902,25,15,18,
December 2025,730,21,13,13,
January 2026,916,27,15,18,
February 2026,998,39,25,19,
March 2026,1264,45,24,25,
April 2026,1189,52,20,25,
May 2026,1002,36,16,19,


"	All data is from the California Regional Multiple Listing Service, INC. InfoSparks © 2026 ShowingTime Plus, LLC.




		
		
		
"


